ID,Title,Type,URL,"SEO Title","Meta Description"
228391,"Bubble Tent Altmühltal (Greding) (Kopie)",product,https://book-a-bubble.de/en/bubble-tent-altmuehltal-greding-kopie/,N/A,N/A
228402,"Altmühltal (Greding) | Romantic voucher (Kopie)",product,https://book-a-bubble.de/en/altmuehltal-greding-romantic-voucher-kopie/,N/A,N/A
228882,"Palatinate | Voucher Standard",product,https://book-a-bubble.de/en/harz-voucher-standard-kopie/,"Glamping voucher Palatinate - Your adventure is calling","Give the gift of unforgettable nights in a bubble tent in the Palatinate - a perfect combination of nature and tranquillity."
229160,"Bubble Tent Palatinate | Romantic Voucher",product,https://book-a-bubble.de/en/altmuehltal-greding-romantic-voucher-kopie-kopie/,"Romantic voucher Palatinate - Nights for two","Give the gift of romantic glamping moments in the Palatinate - perfect for couples who love nature."
229463,"Bubble Tent Strada di Stella (Copy)",product,https://book-a-bubble.de/en/bubble-tent-strada-di-stella-copy/,N/A,N/A
229766,"Bubble Tent Wasen in the Emmental | Voucher",product,https://book-a-bubble.de/en/bubble-tent-thalkirch-voucher-kopie/,"Bubble Tent Wasen in the Emmenta",N/A
9217,"Elzach | Voucher Romantic | INCLUSIVE HOT-TUB BATHROOM",product,https://book-a-bubble.de/en/elzach-voucher-romantic-inclusive-hot-tub-bath/,N/A,N/A
9218,"Elzach | Voucher Standard | INCLUSIVE HOT-TUB BATHING TUB",product,https://book-a-bubble.de/en/elzach-voucher-standard-inclusive-hot-tub-bath/,N/A,N/A
9223,"Gutach | Voucher Standard",product,https://book-a-bubble.de/en/gutach-voucher-standard/,N/A,N/A
9222,"Gutach | voucher romance",product,https://book-a-bubble.de/en/gutach-voucher-standard-2/,N/A,N/A
94656,"Füssen in the Allgäu | Voucher Romantic | INCLUSIVE candles and torches",product,https://book-a-bubble.de/en/forggensee-voucher-romantic-including-candles-and-torches/,N/A,N/A
94654,"Füssen in Allgäu | Voucher Standard",product,https://book-a-bubble.de/en/forggensee-voucher-standard/,N/A,N/A
95208,"Hesel | Voucher Standard",product,https://book-a-bubble.de/en/hesel-voucher-standard/,N/A,N/A
95207,"Hesel | Romantic Voucher | INCLUSIVE candles and torches",product,https://book-a-bubble.de/en/hesel-voucher-romantic-including-candles-and-torches/,N/A,N/A
115808,"Peine | voucher romance| INCLUSIVE candles and torches",product,https://book-a-bubble.de/en/peine-voucher-romantic-including-candles-and-torches/,N/A,N/A
115819,"Peine | Voucher Standard",product,https://book-a-bubble.de/en/peine-voucher-standard/,N/A,N/A
146732,"Ederaue | Voucher Standard",product,https://book-a-bubble.de/en/ederaue-voucher-standard/,N/A,N/A
146736,"Ederaue | Romantic voucher | INCLUDING candles and torches",product,https://book-a-bubble.de/en/ederaue-romantic-voucher-including-candles-and-torches/,N/A,N/A
147502,"Bulle D&#8217;Amour | Voucher",product,https://book-a-bubble.de/en/bulle-damour-voucher/,N/A,N/A
184614,"Bottwartal | Romantic voucher",product,https://book-a-bubble.de/en/neckar-romantic-voucher-2/,N/A,N/A
184633,"Bottwartal | Voucher Standard",product,https://book-a-bubble.de/en/neckar-voucher-standard-2/,N/A,N/A
8955,"Furtwangen | Voucher Standard",product,https://book-a-bubble.de/en/romance-voucher/,N/A,N/A
9066,"Bubble Tent Bad Hönningen",product,https://book-a-bubble.de/en/bubble-tent-elzach-6/,N/A,N/A
9069,"Bubble Tent Elzach",product,https://book-a-bubble.de/en/bubble-tent-elzach-7/,N/A,N/A
9072,"Bubble Tent Gerbstedt",product,https://book-a-bubble.de/en/bubble-tent-tanned-7/,N/A,N/A
9063,"Bubble Tent Ellenberg",product,https://book-a-bubble.de/en/bubble-tent-ellenberg-3/,N/A,N/A
9070,"Bubble Tent Furtwangen",product,https://book-a-bubble.de/en/bubble-tent-furtwangen/,N/A,N/A
