[2025-07-25 05:31:09] [DEBUG] Has pdf coupone: yes
[2025-07-25 05:50:55] [DEBUG] Has pdf coupone: yes
[2025-07-25 05:53:37] [DEBUG] Has pdf coupone: yes
[2025-07-25 05:54:15] [DEBUG] Has pdf coupone: yes
[2025-07-25 05:55:36] [DEBUG] Has pdf coupone: yes
[2025-07-25 05:56:08] [DEBUG] Has pdf coupone: yes
[2025-07-25 06:05:54] [DEBUG] Has pdf coupone: yes
[2025-07-25 06:08:17] [DEBUG] Has pdf coupone: yes
[2025-07-25 06:09:18] [DEBUG] Has pdf coupone: yes
[2025-07-25 06:11:52] [DEBUG] Has pdf coupone: yes
[2025-07-25 06:13:05] [DEBUG] Has pdf coupone: yes
[2025-07-25 06:15:31] [DEBUG] Has pdf coupone: yes
[2025-07-25 06:16:22] [DEBUG] Has pdf coupone: yes
[2025-07-25 06:18:46] [DEBUG] Has pdf coupone: yes
[2025-07-25 06:29:15] [DEBUG] Has pdf coupone: yes
[2025-07-25 06:31:56] [DEBUG] Has pdf coupone: yes
[2025-07-25 06:33:18] [DEBUG] Has pdf coupone: yes
[2025-07-25 06:37:45] [DEBUG] Has pdf coupone: yes
[2025-07-25 06:37:54] [DEBUG] Has pdf coupone: yes
[2025-07-25 06:38:37] [DEBUG] Has pdf coupone: yes
[2025-07-25 06:48:11] [DEBUG] Has pdf coupone: yes
[2025-07-25 06:49:19] [DEBUG] Has pdf coupone: yes
[2025-07-25 06:52:35] [DEBUG] Has pdf coupone: yes
[2025-07-25 07:04:21] [DEBUG] Has pdf coupone: yes
[2025-07-25 07:06:50] [DEBUG] Has pdf coupone: yes
[2025-07-25 07:10:23] [DEBUG] Has pdf coupone: yes
[2025-07-28 09:05:30] [DEBUG] Has pdf coupone: yes
[2025-07-28 09:08:46] [DEBUG] Has pdf coupone: yes
[2025-07-28 09:32:31] [DEBUG] Has pdf coupone: yes
[2025-07-28 12:27:16] [DEBUG] Has pdf coupon: yes
[2025-07-28 12:27:37] [DEBUG] Has pdf coupon: yes
[2025-07-28 12:33:30] [DEBUG] Has pdf coupon: yes
[2025-07-28 12:45:58] [DEBUG] Has pdf coupon: yes
[2025-07-28 12:46:36] [DEBUG] Has pdf coupon: yes
[2025-07-28 12:48:31] [DEBUG] Has pdf coupon: yes
[2025-10-23 12:38:59] [DEBUG] Total discount to apply: 78.5
[2025-10-23 12:39:00] [DEBUG] Total discount to apply: 78.5
[2025-10-23 12:39:00] [DEBUG] Total discount to apply: 78.5
[2025-10-23 12:39:00] [DEBUG] Total discount to apply: 78.5
[2025-10-23 12:39:00] [DEBUG] Total discount to apply: 78.5
[2025-10-23 12:39:00] [DEBUG] Total discount to apply: 78.5
[2025-10-23 12:39:03] [DEBUG] Total discount to apply: 28.5
[2025-10-23 12:39:03] [DEBUG] Total discount to apply: 28.5
[2025-10-23 12:39:03] [DEBUG] Total discount to apply: 28.5
[2025-10-23 12:39:03] [DEBUG] Total discount to apply: 28.5
[2025-10-23 12:39:03] [DEBUG] Total discount to apply: 28.5
[2025-10-23 12:39:03] [DEBUG] Total discount to apply: 28.5
[2025-10-23 12:39:33] [DEBUG] Total discount to apply: 100
[2025-10-23 12:39:33] [DEBUG] Total discount to apply: 100
[2025-10-23 12:39:33] [DEBUG] Total discount to apply: 100
[2025-10-23 12:39:33] [DEBUG] Total discount to apply: 100
[2025-10-23 12:39:52] [DEBUG] Total discount to apply: 100
[2025-10-23 12:39:52] [DEBUG] Total discount to apply: 100
[2025-10-23 12:39:53] [DEBUG] Total discount to apply: 100
[2025-10-23 12:39:53] [DEBUG] Total discount to apply: 150
[2025-10-23 12:39:53] [DEBUG] Total discount to apply: 150
[2025-10-23 12:39:53] [DEBUG] Total discount to apply: 150
[2025-10-23 12:39:53] [DEBUG] Total discount to apply: 150
[2025-10-23 12:41:33] [DEBUG] Total discount to apply: 100
[2025-10-23 12:41:33] [DEBUG] Total discount to apply: 100
[2025-10-23 12:41:33] [DEBUG] Total discount to apply: 100
[2025-10-23 12:41:33] [DEBUG] Total discount to apply: 100
[2025-10-23 12:41:33] [DEBUG] Total discount to apply: 100
[2025-10-23 12:41:33] [DEBUG] Total discount to apply: 100
[2025-10-23 12:42:11] [DEBUG] Total discount to apply: 28.5
[2025-10-23 12:42:11] [DEBUG] Total discount to apply: 28.5
[2025-10-23 12:42:11] [DEBUG] Total discount to apply: 28.5
[2025-10-23 12:42:11] [DEBUG] Total discount to apply: 28.5
[2025-10-23 12:42:26] [DEBUG] Total discount to apply: 28.5
